,id,tweets,tweet_sentiment_value
0,595e60b48fcd022a715f7b7b,this airfrance ber oldest ifes ive ever seen belongs museum terrible smell isnt helping either,0
1,595e60de8fcd022a715f7b7d, will miss connection airfrance ,0
2,595e61448fcd022a715f7b7f,airfrance lost luggage overhead cabin email response phone answers help,0
3,595e62748fcd022a715f7b83,heres twist all airlines hate musicians saga gear plane amp airfrance have clue where is,0
4,595e62b28fcd022a715f7b86,airfrance might have pieces most important gear most important dublin show ive ever done thanks airfrance,0
5,595e62db8fcd022a715f7b8c,airfrance lose gear plane like whats thought process there its literally feet its plane,0
6,595e64088fcd022a715f7b98,reminded hate flying airfrance cdg crap information provision amp enough seats gates,0
7,595e64998fcd022a715f7b9e,airfrance charges  call them weve been hold minutes this normal france,0
8,595e64998fcd022a715f7b9f,airfrance delayed flight adam still says itll boarding   explain,0
9,595e64bf8fcd022a715f7ba2,airfrance made flin horrible condition dont even reply complaint what shame,0
10,595e64e98fcd022a715f7ba4,airfrance made horrible condition your partner aireuropa dont even reply complaint what shame,0
11,595e64fc8fcd022a715f7ba5,airfrance made horrible condition your partner aireuropa dont even reply complaint what shame,0
12,595e65688fcd022a715f7ba6,still suitcase information least airfrance getting back atrocious customer service bmibabycom bristolairport,0
13,595e66678fcd022a715f7bab,thecollinsshow themetztheory airfrance yep whats crazy havent been offered anything compensate ,0
14,595e67078fcd022a715f7bb1,thecollinsshow airfrance dont believe they deal business making sure their customers properly ,0
15,595e67078fcd022a715f7bb2,airfrance finally onboard customer experience today thus left desired,0
16,595e67c28fcd022a715f7bb5,airfrance delay major issue lack information amp nowhere people sit woman ,0
17,595e68278fcd022a715f7bb8,airfrance  still isnt going anywhere fast,0
18,595e68758fcd022a715f7bbc,hold minutes with airfrance call automatically off waste time,0
19,595e69918fcd022a715f7bbf,airfrance always provide this stuff amp then never hear thing back bags were your staff took ,0
20,595e6be28fcd022a715f7bc8,airfrance actually people that work have contacted twitter about lost baggage appreciate sarcastic response,0
21,595e6c9b8fcd022a715f7bca,airfrance  still left gate,0
22,595e6dc48fcd022a715f7bcd,airfrance guys confident help then will trust that assurance have dmed baggage ,0
23,595e6e978fcd022a715f7bd2,airfrance after hours still have confirmation emails claims what,0
24,595e70708fcd022a715f7bd9,airfrance  af still going anywhere fast,0
25,595e75af8fcd022a715f7be5,soon france will postulate chapter thisfrenchairlinecompanyhasntsurvivedthecompetitionfighttobeblameduponhightveryfrenchtaxes,0
26,595e762c8fcd022a715f7be6,airfrance airfrance already dmed reference number linked your website response ,0
27,595e7f468fcd022a715f7bf9,airfrance shit airline this only time retarded wankers,0
28,595e7f518fcd022a715f7bfb,vinifromparis post your airfrance complaint ,0
29,595e80558fcd022a715f7bfe,airfrance tell its taken hours still dont know maceoparker band member bags came flight,0
30,595e8873745dc32c7a70a580,insult injury airfrance managed lose sodding luggage,0
31,595e8998745dc32c7a70a586,airfrance thank nothing its hours still dont have luggage airbus luggage dololo,0
32,595e8a4c745dc32c7a70a588,airfrance luggage located fail comprehend never made from airfrance train delayed flight from adan,0
33,595e8a8a745dc32c7a70a589,skyteam your systems integrated this experience crap upgrade experience sucks delta airfrance diamondmembermisery,0
34,595e8adb745dc32c7a70a58c,thanks kind service schiphol this evening missing bag airfrance could learn about customer service from your staff,0
35,595e91fe745dc32c7a70a59e,natashamp airfrance maceoparker hoursomgunacceptable,0
36,595e9354745dc32c7a70a5a0,airfrance airchance taking chances this last flight with airfrance,0
37,595e981c745dc32c7a70a5ad,airfrance just fail understand transferred from strasbourg train adam flight cdg more ,0
38,595e98bb745dc32c7a70a5b0,france looses golf going scotland finds paris doesnt next flight very poor,0
39,595e9c5f745dc32c7a70a5b5,airfrance fuck have been phone half hours your shit service gone worse,0
40,595e9cad745dc32c7a70a5b6,airfrance just check your staff out flew from johannesburg paris your hostesses seriously rude reason,0
41,595ea0bb745dc32c7a70a5bc,ive seen crash investigation episode france many times amp every single time have tears eyes amp anger captain bonin,0
42,595ea0fd745dc32c7a70a5be,airfrance hope they seriously considering never checking baggage your train service from strasbourg again,0
43,595ea7b2745dc32c7a70a5c9,thought southwestair customer service airfrance might take cake,0
44,595eaf40745dc32c7a70a5dd,airfrance something ,0
45,595eafad745dc32c7a70a5df,majorjr airfrance thats trash bruh,0
46,595eb2c1745dc32c7a70a5e4,update lost gear still signwe know gear plane some took off copping shit thoughts airfrance,0
47,595eb35a745dc32c7a70a5e6,airfrance wrong number listed your website senegal baggage dept need find lost item have contact,0
48,595eb39a745dc32c7a70a5e7,airfrance very frustrating that this only contact you your website wrong numbers dont provide email,0
